model,unit_id,horizon,mae,rmse,mape,within_2_patients_pct
ARIMA,705089,1,1.1441,1.6403,7.5669,81.15
ARIMA,705089,2,1.1435,1.6398,7.5629,81.19
ARIMA,705089,3,1.1428,1.6392,7.5587,81.22
ARIMA,705089,4,1.1431,1.6396,7.5606,81.22
ARIMA,705089,12,1.144,1.6416,7.5667,81.15
ARIMA,705089,24,1.1446,1.6435,7.5707,81.13
ARIMA,705089,48,1.1405,1.6272,7.5542,81.2
ARIMA,705089,72,1.1438,1.6294,7.5811,81.18
ARIMA,705090,1,2.9865,3.8237,10.0086,42.2
ARIMA,705090,2,2.987,3.8244,10.0103,42.17
ARIMA,705090,3,2.988,3.8252,10.0136,42.14
ARIMA,705090,4,2.9884,3.8258,10.0148,42.16
ARIMA,705090,12,2.992,3.8304,10.0275,42.18
ARIMA,705090,24,2.9724,3.8068,9.9692,42.42
ARIMA,705090,48,2.9708,3.8022,9.969,42.52
ARIMA,705090,72,2.9892,3.8196,10.028,42.05
ARIMA,705091,1,0.9095,1.3325,4.959,87.68
ARIMA,705091,2,0.9058,1.319,4.9407,87.72
ARIMA,705091,3,0.9054,1.3186,4.9386,87.71
ARIMA,705091,4,0.9054,1.3188,4.9389,87.71
ARIMA,705091,12,0.9049,1.3195,4.9364,87.71
ARIMA,705091,24,0.9002,1.3142,4.9132,87.83
ARIMA,705091,48,0.8915,1.2652,4.866,87.97
ARIMA,705091,72,0.8958,1.2696,4.8907,87.84
ARIMA,705092,1,1.0718,1.4827,10.074,83.65
ARIMA,705092,2,1.0717,1.4827,10.0727,83.64
ARIMA,705092,3,1.0705,1.4811,10.0625,83.68
ARIMA,705092,4,1.0705,1.4812,10.0621,83.67
ARIMA,705092,12,1.0688,1.4809,10.0459,83.75
ARIMA,705092,24,1.0723,1.4844,10.0774,83.66
ARIMA,705092,48,1.0725,1.4781,10.0905,83.62
ARIMA,705092,72,1.0793,1.4849,10.157,83.43
ARIMA,21334825,1,0.7678,1.1093,6.7271,92.54
ARIMA,21334825,2,0.7663,1.1065,6.7165,92.59
ARIMA,21334825,3,0.7663,1.1066,6.7166,92.58
ARIMA,21334825,4,0.7666,1.1069,6.7193,92.58
ARIMA,21334825,12,0.7682,1.1082,6.7349,92.55
ARIMA,21334825,24,0.7628,1.1015,6.6845,92.74
ARIMA,21334825,48,0.7548,1.0794,6.6142,92.9
ARIMA,21334825,72,0.7545,1.0795,6.6163,92.86
ARIMA,21336305,1,0.7679,1.087,6.4563,93.05
ARIMA,21336305,2,0.7656,1.0801,6.4387,93.1
ARIMA,21336305,3,0.7654,1.0801,6.4374,93.09
ARIMA,21336305,4,0.7656,1.0803,6.4398,93.09
ARIMA,21336305,12,0.7679,1.0822,6.4592,93.06
ARIMA,21336305,24,0.7667,1.0808,6.446,93.07
ARIMA,21336305,48,0.7535,1.0487,6.3463,93.28
ARIMA,21336305,72,0.7547,1.0508,6.3606,93.2
ARIMA,97635816,1,0.6831,1.0108,7.0366,94.49
ARIMA,97635816,2,0.6827,1.0105,7.0335,94.49
ARIMA,97635816,3,0.6825,1.0104,7.0315,94.48
ARIMA,97635816,4,0.6826,1.0106,7.033,94.48
ARIMA,97635816,12,0.685,1.0125,7.0584,94.46
ARIMA,97635816,24,0.687,1.0144,7.0793,94.43
ARIMA,97635816,48,0.6889,1.0083,7.1046,94.46
ARIMA,97635816,72,0.6882,1.0062,7.0907,94.49
ARIMA,1775257343,1,1.1494,1.606,6.4881,81.89
ARIMA,1775257343,2,1.1475,1.6026,6.4792,81.93
ARIMA,1775257343,3,1.1473,1.6026,6.4784,81.92
ARIMA,1775257343,4,1.1476,1.6029,6.4802,81.91
ARIMA,1775257343,12,1.1496,1.6051,6.4929,81.84
ARIMA,1775257343,24,1.1386,1.5895,6.4334,82.16
ARIMA,1775257343,48,1.1189,1.545,6.3419,82.62
ARIMA,1775257343,72,1.1203,1.5463,6.345,82.61
